SPECTRUM - MS,,,
paper spray_metabolome_water_pos.raw,,,
FTMS + p NSI Full ms [50.00-100.00],,,
Scan #: 92-106,,,
RT: 0.59-0.68,,,
AV: 15,,,
Data points: 13997,,,
Mass,Intensity,Rel Abund,Peak
50.515834,0,0,FALSE
50.515911,0,0,FALSE
50.515988,0,0,FALSE
50.558561,0,0,FALSE
50.558638,0,0,FALSE
50.558714,0,0,FALSE
50.558791,0,0,FALSE
50.558868,7.036121,0.00134927,FALSE
50.558945,11.428109,0.002191493,FALSE
50.559022,14.317199,0.002745514,TRUE
50.559099,13.74193,0.002635199,FALSE
50.559176,10.066051,0.0019303,FALSE
50.559253,5.658369,0.001085068,FALSE
50.55933,0.142511,2.73284E-05,FALSE
50.559407,0,0,FALSE
50.559483,0,0,FALSE
50.55956,0,0,FALSE
50.559637,0,0,FALSE
50.603728,0,0,FALSE
50.603805,0,0,FALSE
50.603882,0,0,FALSE
50.603959,0,0,FALSE
50.604036,11.373739,0.002181066,FALSE
50.604113,16.297189,0.003125204,FALSE
50.60419,17.425016,0.00334148,TRUE
50.604267,14.201126,0.002723256,FALSE
50.604344,8.890064,0.001704789,FALSE
50.604421,0.087327,1.67461E-05,FALSE
50.604498,0,0,FALSE
50.604575,0,0,FALSE
50.604652,0,0,FALSE
50.604729,0,0,FALSE
50.609504,0,0,FALSE
50.609581,0,0,FALSE
50.609658,0,0,FALSE
50.609735,0,0,FALSE
50.609812,8.278791,0.001587569,FALSE
50.609889,11.291155,0.00216523,FALSE
50.609966,12.241939,0.002347555,TRUE
50.610043,10.653518,0.002042954,FALSE
50.61012,7.495084,0.001437283,FALSE
50.610197,0.082093,1.57424E-05,FALSE
50.610274,0,0,FALSE
50.610351,0,0,FALSE
50.610428,0,0,FALSE
50.610505,0,0,FALSE
50.626759,0,0,FALSE
50.626836,0,0,FALSE
50.626913,0,0,FALSE
50.62699,0,0,FALSE
50.627067,10.174989,0.00195119,FALSE
50.627144,16.082985,0.003084127,FALSE
50.627221,18.522071,0.003551855,TRUE
50.627298,16.139733,0.00309501,FALSE
50.627375,10.51549,0.002016486,FALSE
50.627452,0.142423,2.73115E-05,FALSE
50.627529,0,0,FALSE
50.627606,0,0,FALSE
50.627683,0,0,FALSE
50.62776,0,0,FALSE
50.685137,0,0,FALSE
50.685214,0,0,FALSE
50.685291,0,0,FALSE
50.685368,0,0,FALSE
50.685446,6.024948,0.001155364,FALSE
50.685523,10.788674,0.002068872,FALSE
50.6856,13.502492,0.002589283,TRUE
50.685677,12.289387,0.002356654,FALSE
50.685754,7.909511,0.001516754,FALSE
50.685831,0.098061,1.88045E-05,FALSE
50.685909,0,0,FALSE
50.685986,0,0,FALSE
50.686063,0,0,FALSE
50.68614,0,0,FALSE
50.69633,0,0,FALSE
50.696408,0,0,FALSE
50.696485,0,0,FALSE
50.696562,0,0,FALSE
50.696639,5.616186,0.001076979,FALSE
50.696716,8.443493,0.001619153,FALSE
50.696794,9.79843,0.00187898,TRUE
50.696871,8.622657,0.00165351,FALSE
50.696948,5.517494,0.001058053,FALSE
50.697025,0.06798,1.30361E-05,FALSE
50.697102,0,0,FALSE
