SPECTRUM - MS,
ESI_metabolome water_pos (separate channel)_no vol_volt then volt on.raw,
FTMS + p NSI Full ms [50.00-100.00],
Scan #: 118-125,
RT: 1.11-1.17,
AV: 8,
Data points: 6617,
Mass,Intensity
53.55173,0
53.551814,5.057414
53.551897,10.653901
53.551981,14.733973
53.552065,14.948774
53.552149,11.554458
53.552233,7.315487
53.552317,0.424169
53.5524,0
53.552484,0
53.552568,0
53.552652,0
53.600968,0
53.601052,0
53.601136,0
53.60122,0
53.601304,6.502965
53.601388,9.639159
53.601472,11.163119
53.601556,10.37221
53.60164,7.52617
53.601724,0.463282
53.601808,0
53.601892,0
53.601976,0
53.60206,0
53.790839,0
53.790923,0
53.791008,0
53.791092,0
53.791176,8.607654
53.791261,12.729625
53.791345,13.642449
53.79143,11.217857
53.791514,7.056815
53.791598,0.459323
53.791683,0
53.791767,0
53.791852,0
53.791936,0
53.928144,0
53.928229,0
53.928313,0
53.928398,0
53.928483,6.892338
53.928567,12.350011
53.928652,14.607055
53.928737,12.272285
53.928822,7.344865
53.928906,0.445324
53.928991,0
53.929076,0
53.92916,0
53.929245,0
54.003869,0
54.003954,0
54.004039,0
54.004124,0
54.004208,11.626015
54.004293,20.918561
54.004378,27.646932
54.004463,27.205805
54.004548,19.400559
54.004633,5.813533
54.004718,0.352784
54.004803,0
54.004888,0
54.004973,0
54.005057,0
54.113881,0
54.113967,0
54.114052,0
54.114137,0
54.114222,5.003895
54.114307,9.587046
54.114392,12.32743
54.114478,11.570269
54.114563,7.934839
54.114648,0.578703
54.114733,0
54.114818,0
54.114903,0
54.114988,0
54.32087,0
54.320956,0
54.321042,0
54.321127,0
54.321213,6.392216
54.321299,11.317986
54.321384,15.013221
54.32147,14.779298
54.321555,10.558188
54.321641,5.489307
54.321727,0.921909
54.321812,0
54.321898,0
54.321984,0
54.322069,0
54.615453,0
54.615539,0
54.615626,0
54.615712,0
54.615798,7.751686
54.615885,10.554291
54.615971,11.826977
54.616057,11.78314
54.616144,10.23379
54.61623,0.787344
54.616316,0
54.616403,0
54.616489,0
54.616575,0
54.62901,0
54.629096,0
54.629183,0
54.629269,0
54.629355,6.133672
54.629442,10.278877
54.629528,12.073898
54.629614,10.308107
54.629701,6.11218
54.629787,0
54.629874,0
54.62996,0
54.630046,0
54.86851,0
54.868597,0
54.868684,0
54.868771,0
54.868858,6.420718
54.868945,9.966757
54.869032,11.808349
54.869119,11.176856
