SPECTRUM - MS,,,
2025-02-25-Xiaowei-08.raw,,,
FTMS + p ESI Full ms [50.00-600.00],,,
Scan #: 65-78,,,
RT: 0.31-0.37,,,
AV: 14,,,
Data points: 20093,,,
Mass,Intensity,rel abund,peak
66.851022,25.760254,0.003836168,TRUE
66.866224,25.6516,0.003819987,TRUE
67.029322,23.021837,0.003428368,TRUE
67.26022,20.318553,0.0030258,TRUE
67.42121,19.680455,0.002930776,TRUE
67.607979,25.79992,0.003842075,TRUE
67.635098,21.943276,0.003267751,TRUE
67.767595,24.104923,0.003589659,TRUE
67.959641,21.677699,0.003228201,TRUE
68.031599,23.985408,0.003571861,TRUE
68.049366,318.233942,0.047390788,TRUE
68.341356,24.706868,0.003679299,TRUE
68.467209,26.319384,0.003919432,TRUE
68.679767,20.734092,0.003087681,TRUE
68.996909,25.059649,0.003731835,TRUE
69.002548,21.235145,0.003162297,TRUE
69.044498,48.10435,0.007163607,TRUE
69.069784,192.165856,0.02861697,TRUE
69.370598,21.345397,0.003178716,TRUE
69.391118,26.255967,0.003909988,TRUE
69.882588,21.922434,0.003264647,TRUE
69.917589,20.869254,0.003107809,TRUE
70.012474,261.410106,0.038928691,TRUE
70.06488,854.995611,0.127324305,TRUE
70.089223,22.331734,0.003325599,TRUE
70.186218,23.176486,0.003451398,TRUE
70.436163,20.952706,0.003120237,TRUE
70.698125,21.971053,0.003271887,TRUE
70.770402,21.811147,0.003248074,TRUE
70.863456,23.924606,0.003562806,TRUE
71.14218,24.198312,0.003603566,TRUE
71.312936,23.495802,0.00349895,TRUE
71.525176,24.262392,0.003613109,TRUE
71.658113,21.489598,0.00320019,TRUE
71.752923,23.951293,0.003566781,TRUE
71.8099,22.916049,0.003412614,TRUE
72.060463,23.335768,0.003475118,TRUE
72.080617,3050.692896,0.454303331,TRUE
72.318128,22.410286,0.003337297,TRUE
72.740918,24.782218,0.00369052,TRUE
73.064723,57.420577,0.008550962,TRUE
73.091715,25.304573,0.003768308,TRUE
73.144942,21.647956,0.003223772,TRUE
73.219396,23.095979,0.003439409,TRUE
73.667704,24.107843,0.003590094,TRUE
73.669868,21.72821,0.003235723,TRUE
73.861757,21.747168,0.003238547,TRUE
73.934045,22.658702,0.00337429,TRUE
74.020604,22.756973,0.003388925,TRUE
74.058214,23.807574,0.003545378,TRUE
74.05985,2096.27987,0.312173975,TRUE
74.096399,147.42141,0.021953713,TRUE
74.299546,20.40917,0.003039294,TRUE
74.34587,21.246882,0.003164045,TRUE
74.396904,21.958724,0.003270051,TRUE
74.615625,25.288708,0.003765946,TRUE
74.732394,23.238897,0.003460692,TRUE
74.774974,27.597428,0.004109756,TRUE
74.932892,24.880483,0.003705154,TRUE
74.951765,24.010532,0.003575602,TRUE
75.091311,21.850043,0.003253866,TRUE
75.20334,21.848247,0.003253599,TRUE
75.228177,22.866744,0.003405272,TRUE
75.581117,23.742097,0.003535628,TRUE
76.064094,28.282114,0.004211718,TRUE
76.344404,24.176037,0.003600249,TRUE
76.603603,23.934979,0.003564351,TRUE
76.675071,23.912774,0.003561044,TRUE
76.765913,21.255749,0.003165365,TRUE
77.266411,28.88133,0.004300952,TRUE
77.509301,22.018119,0.003278896,TRUE
78.201968,21.410491,0.003188409,TRUE
78.277166,28.469478,0.00423962,TRUE
78.284573,28.036853,0.004175194,TRUE
78.454637,24.771697,0.003688954,TRUE
78.527521,22.160095,0.003300039,TRUE
78.788053,30.175043,0.004493609,TRUE
79.021027,14528.96363,2.163625377,TRUE
79.054093,117.369697,0.01747847,TRUE
79.496454,24.369672,0.003629085,TRUE
79.500093,72.898965,0.010855974,TRUE
79.502519,26.41771,0.003934075,TRUE
80.020568,41.020928,0.006108758,TRUE
80.024549,211.612215,0.031512885,TRUE
80.047523,21.586531,0.003214625,TRUE
80.049361,511.262891,0.076136288,TRUE
80.07541,24.576116,0.003659828,TRUE
80.096872,21.185735,0.003154939,TRUE
80.153635,23.19168,0.00345366,TRUE
80.164687,25.468222,0.003792679,TRUE
80.361562,23.521604,0.003502792,TRUE
80.658545,22.501674,0.003350906,TRUE
81.017042,609.024526,0.090694763,TRUE
81.044501,1870.523854,0.278554822,TRUE
81.069789,30.253889,0.004505351,TRUE
81.075097,23.873596,0.00355521,TRUE
81.159483,22.452416,0.003343571,TRUE
81.256533,23.760054,0.003538302,TRUE
81.260607,23.169992,0.003450431,TRUE
81.310769,25.114343,0.00373998,TRUE
81.426004,22.538288,0.003356359,TRUE
81.520383,236.675044,0.035245193,TRUE
81.666996,23.546589,0.003506513,TRUE
81.705528,25.331493,0.003772317,TRUE
82.204468,24.220633,0.00360689,TRUE
82.682899,22.350652,0.003328416,TRUE
82.759178,22.666819,0.003375499,TRUE
82.76562,26.052421,0.003879677,TRUE
82.876539,24.85407,0.00370122,TRUE
83.060172,402.635366,0.059959686,TRUE
83.090621,26.28908,0.003914919,TRUE
83.623581,24.917014,0.003710594,TRUE
84.044223,86.235789,0.012842068,TRUE
84.04653,24.303927,0.003619294,TRUE
84.080821,2083.435095,0.310261155,TRUE
84.371818,23.666221,0.003524328,TRUE
84.44414,27.828886,0.004144224,TRUE
84.561444,24.109977,0.003590411,TRUE
84.678327,26.313875,0.003918612,TRUE
84.921859,25.044928,0.003729643,TRUE
85.117039,22.224022,0.003309559,TRUE
85.124094,25.867464,0.003852133,TRUE
85.469184,24.238185,0.003609504,TRUE
85.941324,21.343649,0.003178455,TRUE
86.046738,22.134079,0.003296165,TRUE
86.060056,45.103163,0.006716676,TRUE
86.087386,27.016381,0.004023228,TRUE
86.096271,1578.9902,0.23514019,TRUE
86.136269,23.308682,0.003471084,TRUE
86.227654,27.225451,0.004054362,TRUE
86.361398,23.794783,0.003543473,TRUE
86.442481,21.074563,0.003138383,TRUE
86.513351,22.601275,0.003365738,TRUE
86.52299,23.0998,0.003439978,TRUE
86.739268,24.279719,0.003615689,TRUE
87.0998,33.765677,0.00502832,TRUE
87.110929,26.635561,0.003966517,TRUE
87.250918,31.46235,0.004685313,TRUE
87.256845,24.12752,0.003593024,TRUE
87.416413,22.781214,0.003392535,TRUE
87.497586,20.548676,0.003060069,TRUE
87.656411,21.746629,0.003238466,TRUE
87.695043,25.998362,0.003871626,TRUE
87.833273,23.384159,0.003482324,TRUE
87.84877,23.436557,0.003490127,TRUE
87.966183,22.607572,0.003366676,TRUE
88.075699,114.319138,0.017024187,TRUE
88.219084,24.988747,0.003721276,TRUE
88.391253,25.509938,0.003798891,TRUE
88.461686,36.623989,0.005453974,TRUE
88.50655,26.251824,0.003909371,TRUE
89.038612,76.770823,0.011432564,TRUE
89.059462,41.483877,0.006177699,TRUE
89.088952,24.262088,0.003613064,TRUE
89.424803,24.098025,0.003588632,TRUE
89.581289,25.50208,0.003797721,TRUE
90.054681,23.180161,0.003451945,TRUE
90.146514,26.75642,0.003984515,TRUE
90.152739,24.834601,0.003698321,TRUE
90.222722,24.747763,0.003685389,TRUE
90.30233,24.434235,0.003638699,TRUE
90.323992,26.165457,0.00389651,TRUE
90.376529,22.314345,0.003323009,TRUE
90.52594,60.112199,0.008951793,TRUE
90.652087,26.092771,0.003885685,TRUE
91.054037,500.894601,0.074592263,TRUE
91.164903,30.282214,0.004509569,TRUE
91.356977,26.55495,0.003954512,TRUE
91.370426,25.36669,0.003777559,TRUE
91.799365,25.150815,0.003745411,TRUE
91.92479,23.9363,0.003564548,TRUE
92.057651,31.671764,0.004716498,TRUE
92.385747,21.994985,0.003275451,TRUE
92.743487,25.023038,0.003726383,TRUE
92.871235,23.8381,0.003549924,TRUE
93.044537,46.024568,0.00685389,TRUE
93.069882,53.179471,0.007919385,TRUE
93.301159,22.604846,0.00336627,TRUE
93.504669,22.540182,0.003356641,TRUE
93.690609,22.021575,0.003279411,TRUE
94.039965,98.797211,0.014712691,TRUE
94.064938,63.66412,0.009480739,TRUE
94.666498,24.706013,0.003679172,TRUE
95.023709,274.498442,0.040877781,TRUE
95.049075,84.296197,0.012553228,TRUE
95.060176,4258.625201,0.634186291,TRUE
95.085556,193.397872,0.02880044,TRUE
95.092696,23.07758,0.003436669,TRUE
95.273449,22.858367,0.003404024,TRUE
95.441155,25.707522,0.003828315,TRUE
95.470679,24.385873,0.003631497,TRUE
95.57412,27.534532,0.00410039,TRUE
95.995202,22.995124,0.00342439,TRUE
96.063639,89.603426,0.01334357,TRUE
96.125698,27.29952,0.004065392,TRUE
96.201943,24.900313,0.003708107,TRUE
96.285958,25.319396,0.003770516,TRUE
96.36887,24.779451,0.003690108,TRUE
96.436491,22.496239,0.003350097,TRUE
96.505401,20.811016,0.003099137,TRUE
96.727629,21.97501,0.003272476,TRUE
96.819669,23.486289,0.003497533,TRUE
96.921637,27.675863,0.004121436,TRUE
97.064663,93.605765,0.013939591,TRUE
97.07571,103.094691,0.015352664,TRUE
97.210466,21.816528,0.003248875,TRUE
97.402228,28.979618,0.004315589,TRUE
97.746105,24.765259,0.003687995,TRUE
97.99587,23.327935,0.003473951,TRUE
98.400915,22.115518,0.0032934,TRUE
98.552251,22.164103,0.003300636,TRUE
98.808056,21.799805,0.003246385,TRUE
99.054736,22.718557,0.003383204,TRUE
99.063593,21.728394,0.003235751,TRUE
99.557249,24.197995,0.003603519,TRUE
99.904494,23.636302,0.003519873,TRUE
100.01437,25.076525,0.003734348,TRUE
100.075586,152.537394,0.022715576,TRUE
100.112,515.310484,0.076739048,TRUE
100.203336,21.51549,0.003204045,TRUE
100.618272,23.759324,0.003538193,TRUE
100.960238,21.131332,0.003146837,TRUE
100.964144,21.775674,0.003242792,TRUE
101.00278,150.628071,0.022431243,TRUE
101.05969,42.505136,0.006329783,TRUE
101.142317,22.515891,0.003353023,TRUE
101.271244,24.732138,0.003683063,TRUE
101.327508,24.584352,0.003661055,TRUE
101.330999,20.655559,0.003075986,TRUE
101.404348,25.149103,0.003745156,TRUE
101.683626,20.619887,0.003070674,TRUE
101.738478,22.174862,0.003302238,TRUE
101.810952,22.90303,0.003410675,TRUE
101.901982,209.150679,0.031146318,TRUE
101.906383,47.655869,0.007096821,TRUE
101.911224,24.364546,0.003628321,TRUE
101.950846,25.003283,0.003723441,TRUE
102.041183,23.728405,0.003533589,TRUE
102.054854,24.805222,0.003693946,TRUE
102.072498,27.198818,0.004050396,TRUE
102.091029,152.727607,0.022743902,TRUE
102.127666,1866.689496,0.277983817,TRUE
102.173599,31.024792,0.004620152,TRUE
102.3541,21.17307,0.003153053,TRUE
102.583065,167.914769,0.025005545,TRUE
102.587066,53.284575,0.007935037,TRUE
102.80299,23.382974,0.003482148,TRUE
103.038833,117.373263,0.017479001,TRUE
103.054048,396.46941,0.059041464,TRUE
103.131068,34.97198,0.00520796,TRUE
103.147199,22.535953,0.003356011,TRUE
103.332534,22.919728,0.003413162,TRUE
103.408967,27.954165,0.004162881,TRUE
103.57832,21.600781,0.003216747,TRUE
103.916917,24.250172,0.003611289,TRUE
103.955447,72.126954,0.010741008,TRUE
103.966784,205.469785,0.030598166,TRUE
104.106603,671510.1322,100,TRUE
104.113419,243.028783,0.03619138,TRUE
104.114328,157.912132,0.023515972,TRUE
104.247159,386.286535,0.057525049,TRUE
104.456472,23.645826,0.003521291,TRUE
104.927555,23.557732,0.003508172,TRUE
105.069778,30.657479,0.004565453,TRUE
105.103881,2560.570784,0.381315286,TRUE
105.110334,36151.85236,5.383664464,TRUE
105.415258,23.865175,0.003553956,TRUE
105.526468,24.790746,0.00369179,TRUE
105.641106,21.169668,0.003152546,TRUE
105.659223,53.165277,0.007917271,TRUE
105.663405,194.579616,0.028976423,TRUE
106.049652,84.198987,0.012538752,TRUE
106.108076,22.728877,0.003384741,TRUE
106.110881,1303.113346,0.194057138,TRUE
106.113687,700.826389,0.104365721,TRUE
106.384018,164.682945,0.024524268,TRUE
106.505229,22.859192,0.003404147,TRUE
106.535329,26.946704,0.004012851,TRUE
106.602629,20.86737,0.003107529,TRUE
106.817663,23.171686,0.003450683,TRUE
107.021034,23.503038,0.003500027,TRUE
107.085476,53.631355,0.007986678,TRUE
108.080771,638.730253,0.095118483,TRUE
108.259806,24.421392,0.003636787,TRUE
108.27089,25.44222,0.003788807,TRUE
108.4475,23.124082,0.003443594,TRUE
108.476494,25.201503,0.003752959,TRUE
108.936627,27.433808,0.00408539,TRUE
109.064664,28.705509,0.004274769,TRUE
109.101217,96.948923,0.014437448,TRUE
109.159741,22.337701,0.003326488,TRUE
109.722994,22.726683,0.003384414,TRUE
109.795307,24.366303,0.003628583,TRUE
110.070945,678.954906,0.101108661,TRUE
111.058665,23.500856,0.003499702,TRUE
111.628625,25.021866,0.003726208,TRUE
111.892464,21.502508,0.003202112,TRUE
112.02169,133.492825,0.019879495,TRUE
112.050607,13779.39129,2.052000503,TRUE
112.086642,6159.73115,0.91729534,TRUE
112.112028,5994.694461,0.892718393,TRUE
112.636412,24.636892,0.003668879,TRUE
112.895622,198.598572,0.029574918,TRUE
113.029162,141.018339,0.02100018,TRUE
113.034302,45.927385,0.006839418,TRUE
113.04767,70.157136,0.010447666,TRUE
113.053841,488.025602,0.072675836,TRUE
113.083672,26.003105,0.003872332,TRUE
113.09036,133.158634,0.019829728,TRUE
113.093447,27.114495,0.004037839,TRUE
113.10734,26.309597,0.003917975,TRUE
113.11506,264.58467,0.039401441,TRUE
113.226307,22.734331,0.003385553,TRUE
113.894131,27.960298,0.004163794,TRUE
114.091459,216.997196,0.032314806,TRUE
114.482942,23.79394,0.003543348,TRUE
114.778009,22.680195,0.003377491,TRUE
115.026178,73.338712,0.01092146,TRUE
115.031456,28.481364,0.00424139,TRUE
115.054154,653.256904,0.097281764,TRUE
115.075275,1674.703023,0.24939356,TRUE
115.700428,25.199102,0.003752602,TRUE
116.070265,3158.874596,0.470413542,TRUE
116.07829,24.177562,0.003600476,TRUE
116.20412,22.892328,0.003409082,TRUE
116.50856,23.608159,0.003515682,TRUE
116.591454,22.678304,0.00337721,TRUE
116.890391,25.505815,0.003798277,TRUE
117.054375,161.785412,0.024092773,TRUE
117.057084,42.802534,0.006374071,TRUE
117.069546,122.739354,0.018278109,TRUE
117.073881,72.127213,0.010741046,TRUE
117.333887,28.424956,0.00423299,TRUE
117.656975,26.538257,0.003952026,TRUE
117.761323,26.516495,0.003948786,TRUE
117.837349,24.459713,0.003642494,TRUE
118.086179,71582.7196,10.65996121,TRUE
118.093865,36.256043,0.00539918,TRUE
118.319279,25.407022,0.003783565,TRUE
118.682392,24.252084,0.003611574,TRUE
118.888973,22.390498,0.00333435,TRUE
118.965539,28.753552,0.004281924,TRUE
119.034956,224.459576,0.033426089,TRUE
119.053848,23.100016,0.00344001,TRUE
119.083306,47.931902,0.007137927,TRUE
119.08553,45.131779,0.006720938,TRUE
119.089422,3847.731099,0.57299673,TRUE
119.843532,23.367008,0.00347977,TRUE
120.065534,167.209858,0.024900571,TRUE
120.080732,3577.633638,0.532774335,TRUE
120.090302,30.157093,0.004490936,TRUE
120.180994,30.334962,0.004517424,TRUE
120.625796,23.525599,0.003503387,TRUE
121.039454,72.537808,0.010802191,TRUE
121.083901,199.056557,0.02964312,TRUE
121.101003,38.878651,0.005789734,TRUE
121.107844,23.435716,0.003490002,TRUE
121.9659,149.669307,0.022288466,TRUE
122.070841,18406.78174,2.741102607,TRUE
122.096231,1305.331303,0.194387432,TRUE
122.543593,24.14434,0.003595529,TRUE
122.858153,25.122899,0.003741254,TRUE
123.06756,52.142667,0.007764986,TRUE
123.074569,1219.90761,0.1816663,TRUE
123.079241,337.291211,0.05022876,TRUE
123.099689,79.556071,0.011847337,TRUE
123.116635,51.679674,0.007696038,TRUE
123.141768,29.032215,0.004323422,TRUE
123.279844,22.188335,0.003304244,TRUE
123.604887,24.670416,0.003673871,TRUE
123.933578,21.763294,0.003240948,TRUE
123.964275,30.675167,0.004568087,TRUE
124.252916,22.435144,0.003340999,TRUE
124.55981,23.886077,0.003557069,TRUE
124.665735,21.483854,0.003199334,TRUE
125.106951,28.334757,0.004219558,TRUE
126.03759,37.750803,0.005621777,TRUE
126.337151,26.522205,0.003949636,TRUE
126.518375,21.86614,0.003256264,TRUE
126.892389,22.400228,0.003335799,TRUE
127.0503,126.093187,0.018777555,TRUE
127.053976,22.126725,0.003295069,TRUE
127.104841,22.969792,0.003420617,TRUE
127.479613,25.162148,0.003747099,TRUE
127.638622,25.286009,0.003765544,TRUE
127.943913,23.016744,0.003427609,TRUE
127.977351,26.212699,0.003903545,TRUE
128.061624,100.889278,0.015024238,TRUE
128.107513,45.69242,0.006804427,TRUE
128.228556,27.636328,0.004115549,TRUE
128.612056,23.902957,0.003559582,TRUE
128.651375,22.654379,0.003373647,TRUE
128.662612,24.985369,0.003720773,TRUE
129.051826,190.543819,0.02837542,TRUE
129.090719,187.372406,0.027903139,TRUE
129.138418,3700.861018,0.551125119,TRUE
129.247095,23.567296,0.003509596,TRUE
130.04975,219.562809,0.032696872,TRUE
130.064978,387.749887,0.057742969,TRUE
130.085921,724.83666,0.107941284,TRUE
130.097347,98.800543,0.014713187,TRUE
130.141794,150.841115,0.022462969,TRUE
130.158944,765.054867,0.113930502,TRUE
131.072774,67.31361,0.010024214,TRUE
131.216047,25.600417,0.003812365,TRUE
132.065055,863.918192,0.128653039,TRUE
132.102071,7483.413178,1.114415527,TRUE
132.861382,24.359202,0.003627526,TRUE
133.031882,113.949575,0.016969152,TRUE
133.059455,1174.640436,0.174925199,TRUE
133.096889,158.701147,0.02363347,TRUE
133.105429,366.592236,0.054592212,TRUE
133.356078,22.984796,0.003422852,TRUE
133.526871,25.305429,0.003768436,TRUE
133.561201,110.587766,0.016468518,TRUE
133.646424,22.872953,0.003406196,TRUE
133.952308,26.183706,0.003899227,TRUE
134.032595,59.734833,0.008895597,TRUE
134.862219,23.622038,0.003517749,TRUE
135.116505,29.165623,0.004343289,TRUE
135.984038,23.128586,0.003444265,TRUE
136.030179,36.022099,0.005364342,TRUE
136.061405,19066.66643,2.839371368,TRUE
136.111661,314.140119,0.046781144,TRUE
136.790116,26.373953,0.003927558,TRUE
136.962065,23.918089,0.003561836,TRUE
137.045759,2678.23806,0.398838071,TRUE
137.059487,612.010172,0.09113938,TRUE
137.064978,851.149143,0.126751497,TRUE
137.095875,45.573359,0.006786697,TRUE
137.630317,24.487573,0.003646642,TRUE
137.704255,22.084477,0.003288778,TRUE
137.722921,23.590591,0.003513066,TRUE
138.063039,62.307335,0.009278689,TRUE
138.091497,68.11634,0.010143755,TRUE
138.581515,26.848223,0.003998186,TRUE
138.712813,27.942773,0.004161184,TRUE
138.756155,26.550387,0.003953833,TRUE
139.050293,160.868009,0.023956155,TRUE
139.111339,28.504667,0.00424486,TRUE
140.012732,26.715494,0.00397842,TRUE
140.06803,947.32079,0.141073194,TRUE
140.081505,25.790659,0.003840695,TRUE
140.0964,21.936382,0.003266724,TRUE
140.516583,27.621472,0.004113337,TRUE
140.599278,24.238133,0.003609496,TRUE
141.384213,24.456765,0.003642055,TRUE
141.840554,25.449178,0.003789843,TRUE
142.155436,26.10198,0.003887057,TRUE
142.384835,23.734905,0.003534556,TRUE
142.686219,24.806669,0.003694162,TRUE
143.072715,99.984087,0.014889438,TRUE
143.078572,23.059544,0.003433983,TRUE
143.338838,25.230523,0.003757281,TRUE
144.047702,10198.22667,1.518700341,TRUE
144.065454,459.613793,0.068444804,TRUE
144.080989,734.510456,0.109381887,TRUE
144.101708,118.702503,0.017676949,TRUE
144.661301,21.798734,0.003246226,TRUE
144.981893,284.674797,0.042393224,TRUE
145.050624,431.998391,0.064332371,TRUE
145.064824,141.960765,0.021140525,TRUE
145.084259,29.230216,0.004352908,TRUE
145.228653,22.864212,0.003404895,TRUE
145.297558,21.712281,0.003233351,TRUE
145.889766,29.372987,0.004374169,TRUE
146.042913,350.354951,0.052174187,TRUE
146.059525,30.36733,0.004522244,TRUE
146.081427,346.833027,0.051649709,TRUE
146.096534,707.912131,0.105420916,TRUE
146.117688,226.020799,0.033658584,TRUE
146.165302,28154.47563,4.192710472,TRUE
146.240172,24.143825,0.003595452,TRUE
146.464367,25.309632,0.003769062,TRUE
146.725566,26.197558,0.00390129,TRUE
146.979841,114.187309,0.017004555,TRUE
147.11257,466.122239,0.069414029,TRUE
147.162198,77.464765,0.011535904,TRUE
147.168308,2223.266253,0.331084543,TRUE
147.577005,21.418931,0.003189666,TRUE
148.042872,157.224241,0.023413532,TRUE
148.56671,24.897968,0.003707758,TRUE
148.894938,23.918481,0.003561894,TRUE
148.899602,25.99695,0.003871416,TRUE
149.023266,522.870036,0.077864802,TRUE
149.05985,68.843191,0.010251996,TRUE
149.121373,24.195664,0.003603172,TRUE
149.92308,22.416264,0.003338187,TRUE
150.006357,117.871707,0.017553228,TRUE
150.058243,928.964063,0.138339545,TRUE
150.127467,202.968541,0.030225686,TRUE
150.206977,24.888708,0.003706379,TRUE
150.732061,25.183226,0.003750238,TRUE
151.061141,26.407988,0.003932627,TRUE
151.096889,22.603038,0.003366001,TRUE
151.111192,70.94679,0.01056526,TRUE
151.212959,23.050248,0.003432599,TRUE
151.985916,28.202279,0.004199829,TRUE
152.056478,1796.819712,0.267578943,TRUE
152.684879,49.432087,0.007361332,TRUE
152.774507,25.437905,0.003788164,TRUE
153.060065,53.258484,0.007931151,TRUE
153.066546,25.735137,0.003832427,TRUE
154.037629,23.039374,0.003430979,TRUE
154.064621,53.211619,0.007924172,TRUE
154.085893,199.640277,0.029730047,TRUE
154.097349,57.386103,0.008545828,TRUE
