histamine
serotonin
dopamine
lysine
adenine
cytosine
guanine
thiamine
taurine
folic acid
sphingosine
spermidine
O-phosphorylethanolamine
4-aminobenzoic acid
galactosamine
glycine
ornithine
alpha-ketobutyric acid
acetone
alpha-ketoglutaric acid
oxaloacetic acid
pyruvic acid
corticosterone
acetaldehyde
glyoxylic acid
3-hydroxypropionic acid
6-hydroxyoctanoic acid
3-hydroxypalmitic acid
12-hydroxystearic acid
glutathione
hypoxanthine
uracil
arginine
glucose
urea
4-pentenoic acid
AMP
ascorbic acid
asparagine
ATP
betaine
carnitine
choline
citrate
cysteine
cystine
cytidine
elaidic acid
fumaric acid
galactose
glucosamine
glucose-6-phosphate
glutamine
GMP
guanosine
histidine
hydroxyproline
inosine
inositol
itaconic acid
leucine
malic acid
malonic acid
methionine
N-acetyl cysteine
N-acetyl neuraminic acid
oleic acid
phenylalanine
proline
ribose
serine
threonine
thymidine
tryptophan
tyrosine
UMP
uric acid
uridine
valine
